MapSize,AVG(Dijkstra_Time),MIN(Dijkstra_Time),MAX(Dijkstra_Time),DEV_MIN(Dijkstra_Time),DEV_MAX(Dijkstra_Time),AVG(BiDirDijkstra_Time),MIN(BiDirDijkstra_Time),MAX(BiDirDijkstra_Time),DEV_MIN(BiDirDijkstra_Time),DEV_MAX(BiDirDijkstra_Time),AVG(Astar_Time),MIN(Astar_Time),MAX(Astar_Time),DEV_MIN(Astar_Time),DEV_MAX(Astar_Time),AVG(BiDirAstar_Time),MIN(BiDirAstar_Time),MAX(BiDirAstar_Time),DEV_MIN(BiDirAstar_Time),DEV_MAX(BiDirAstar_Time),AVG(JumpPointSearch_Time),MIN(JumpPointSearch_Time),MAX(JumpPointSearch_Time),DEV_MIN(JumpPointSearch_Time),DEV_MAX(JumpPointSearch_Time),AVG(BiDirJPS_Time),MIN(BiDirJPS_Time),MAX(BiDirJPS_Time),DEV_MIN(BiDirJPS_Time),DEV_MAX(BiDirJPS_Time),AVG(Dijkstra_ExploredNodes),MIN(Dijkstra_ExploredNodes),MAX(Dijkstra_ExploredNodes),DEV_MIN(Dijkstra_ExploredNodes),DEV_MAX(Dijkstra_ExploredNodes),AVG(BiDirDijkstra_ExploredNodes),MIN(BiDirDijkstra_ExploredNodes),MAX(BiDirDijkstra_ExploredNodes),DEV_MIN(BiDirDijkstra_ExploredNodes),DEV_MAX(BiDirDijkstra_ExploredNodes),AVG(Astar_ExploredNodes),MIN(Astar_ExploredNodes),MAX(Astar_ExploredNodes),DEV_MIN(Astar_ExploredNodes),DEV_MAX(Astar_ExploredNodes),AVG(BiDirAstar_ExploredNodes),MIN(BiDirAstar_ExploredNodes),MAX(BiDirAstar_ExploredNodes),DEV_MIN(BiDirAstar_ExploredNodes),DEV_MAX(BiDirAstar_ExploredNodes),AVG(JumpPointSearch_ExploredNodes),MIN(JumpPointSearch_ExploredNodes),MAX(JumpPointSearch_ExploredNodes),DEV_MIN(JumpPointSearch_ExploredNodes),DEV_MAX(JumpPointSearch_ExploredNodes),AVG(BiDirJPS_ExploredNodes),MIN(BiDirJPS_ExploredNodes),MAX(BiDirJPS_ExploredNodes),DEV_MIN(BiDirJPS_ExploredNodes),DEV_MAX(BiDirJPS_ExploredNodes),AVG(Dijkstra_PathLength),MIN(Dijkstra_PathLength),MAX(Dijkstra_PathLength),DEV_MIN(Dijkstra_PathLength),DEV_MAX(Dijkstra_PathLength),AVG(BiDirDijkstra_PathLength),MIN(BiDirDijkstra_PathLength),MAX(BiDirDijkstra_PathLength),DEV_MIN(BiDirDijkstra_PathLength),DEV_MAX(BiDirDijkstra_PathLength),AVG(Astar_PathLength),MIN(Astar_PathLength),MAX(Astar_PathLength),DEV_MIN(Astar_PathLength),DEV_MAX(Astar_PathLength),AVG(BiDirAstar_PathLength),MIN(BiDirAstar_PathLength),MAX(BiDirAstar_PathLength),DEV_MIN(BiDirAstar_PathLength),DEV_MAX(BiDirAstar_PathLength),AVG(JumpPointSearch_PathLength),MIN(JumpPointSearch_PathLength),MAX(JumpPointSearch_PathLength),DEV_MIN(JumpPointSearch_PathLength),DEV_MAX(JumpPointSearch_PathLength),AVG(BiDirJPS_PathLength),MIN(BiDirJPS_PathLength),MAX(BiDirJPS_PathLength),DEV_MIN(BiDirJPS_PathLength),DEV_MAX(BiDirJPS_PathLength)
10,0.119446994,0.003814697,9.929657,0,0.238893987,0.07168603,0.003814697,2.080679,0,0.143372059,0.03984356,0.000953674,0.4384518,0,0.07968712,0.043719291,0.001907349,0.6153584,0,0.087438582,0.019413233,0.001430511,2.893925,0,0.038826466,0.02287054,0.001907349,0.433445,0,0.04574108,28.57,1,56,12.34661261,44.79338739,15.144,1,38,4.979917524,25.30808248,7.292,1,33,2.756218997,11.827781,5.602,1,17,2.645594017,8.558405983,3.588,1,10,2.195090744,4.980909256,6.056,2,14,4.035865117,8.076134883,4.822326375,1,11.48528,2.488432848,7.156219903,3.849452917,1,10.07107,1.676725632,6.022180203,4.822326375,1,11.48528,2.488432848,7.156219903,4.801494024,1,14.92745,1.575240893,8.027747156,4.822326354,1,11.48528,2.488432837,7.15621987,5.191851931,1,18.31371,2.539141672,7.844562189
15,0.258803367,0.004768372,0.6446838,0.111176528,0.406430206,0.167747498,0.004291534,0.5111694,0.061761362,0.273733634,0.075334072,0.001907349,0.3824234,0.003345205,0.14732294,0.069912434,0.002861023,0.3252029,0.004013871,0.135810997,0.018673897,0.001907349,0.20504,0,0.037347793,0.027472972,0.001907349,0.2250671,0,0.054945945,78.324,1,158,32.04178887,124.6062111,47.815,1,112,15.84036705,79.78963295,17.155,1,81,2.830260101,31.4797399,13.525,1,53,2.669253954,24.38074605,5.001,1,15,2.664237398,7.337762602,7.838,2,18,4.80304251,10.87295749,8.620935887,1,21.31371,4.06401721,13.17785457,7.57047851,1,20.31371,3.122496051,12.01846097,8.622256195,1,21.31371,4.064595784,13.17991661,10.30980888,1,29.33025,3.738738655,16.8808791,8.621768724,1,21.31371,4.063594535,13.17994291,8.943199152,1,21.31371,4.304067205,13.5823311
20,0.269565583,0.003814697,0.7238388,0.111195928,0.427935238,0.18484974,0.003814697,0.5674362,0.058898749,0.310800731,0.073547364,0.000953674,0.4005432,0.001508459,0.145586269,0.069779395,0.002861023,0.2784729,0.005956228,0.133602562,0.02161026,0.000953674,0.1840591,0,0.04322052,0.031395912,0.001907349,0.2174377,0,0.062791823,91.447,1,194,34.72107099,148.172929,58.485,1,166,14.23557303,102.734427,19.086,1,106,1.775186378,36.39681362,14.171,1,62,3.248039318,25.09396068,6.005,1,22,2.594339125,9.415660875,9.18,2,26,4.889311243,13.47068876,9.30568435,1,23.14213,4.225246579,14.38612212,8.254182538,1,22.14213,3.251578812,13.25678626,9.310082327,1,23.97056,4.224125073,14.39603958,11.33458504,1,33.79899,3.89349424,18.77567583,9.305927907,1,23.14214,4.225103497,14.38675232,9.567981052,1,24.2132,4.438162244,14.69779986
25,0.519242286,0.003814697,1.249313,0.234051513,0.804433058,0.383326531,0.003814697,1.010895,0.150653535,0.615999526,0.208237985,0.001907349,0.9908676,0.006685439,0.40979053,0.206870079,0.001907349,0.7858276,0.014063863,0.399676296,0.037305832,0.001907349,0.2784729,0,0.074611664,0.048022271,0.001907349,0.2632141,0.000726364,0.095318177,190.886,1,380,80.25889048,301.5131095,140.272,1,314,46.69306523,233.8509348,66.646,1,313,0,133.292,62.8,1,233,0,125.6,12.406,1,51,2.247044917,22.56495508,16.794,2,46,6.439446375,27.14855363,17.68988211,1,45.69848,7.079324408,28.30043981,16.59287318,1,44.69848,6.016465897,27.16928046,17.69283168,1,45.69848,7.07687458,28.30878877,22.8266511,1,62.26822,8.383338117,37.26996407,17.71052995,1,46.28427,7.06150189,28.35955801,18.7858318,1,56.87006,6.474262055,31.09740154
30,0.71991158,0.003814697,1.684189,0.31299478,1.12682838,0.463893892,0.003814697,1.121521,0.216653514,0.711134271,0.232437135,0.001907349,0.9822845,0.042936558,0.421937713,0.208906174,0.001907349,0.837326,0.055841317,0.36197103,0.038923264,0.001907349,0.2746582,0,0.077846528,0.047180177,0.001907349,0.3166199,0.003207792,0.091152562,268.39,1,540,111.2725095,425.5074905,174.702,1,368,73.52127686,275.8827231,74.394,1,359,8.818967794,139.9690322,63.137,1,235,10.02851912,116.2454809,12.681,1,53,4.375084805,20.9869152,17.45,2,48,8.641192187,26.25880781,19.72384155,1,45.21321,9.905184222,29.54249887,18.65740021,1,44.21321,8.865345021,28.44945539,19.72560598,1,45.21321,9.907679148,29.54353281,25.98278083,1,60.57077,12.15259623,39.81296542,19.72408578,1,45.2132,9.905296508,29.54287505,20.07536809,1,45.2132,10.04056303,30.11017315
35,0.866302492,0.003814697,1.918793,0.355705378,1.376899605,0.832637796,0.003814697,2.475739,0.275679287,1.389596305,0.548154836,0.001907349,1.779556,0.082167807,1.014141865,0.659357065,0.001907349,1.937866,0.053483567,1.265230562,0.057772787,0.001907349,0.2593994,0.00635435,0.109191225,0.07629776,0.001907349,0.333786,0.012825296,0.139770223,338.925,1,701,133.326342,544.523658,341.865,1,696,96.08330537,587.6466946,207.279,1,611,18.00532597,396.552674,257.711,1,697,1.316414132,514.1055859,23.219,1,66,6.00600124,40.43199876,33.474,2,78,10.32735681,56.62064319,35.5718997,1,94.01221,11.44733291,59.69646648,34.48334565,1,93.01221,10.3998473,58.56684401,35.57189971,1,94.01221,11.44733293,59.69646649,46.40039584,1,123.4038,15.01137083,77.78942085,35.57189746,1,94.0122,11.44733441,59.69646051,36.00127599,1,94.0122,11.90454906,60.09800291
40,0.84584427,0.003814697,2.006531,0.34323031,1.348458229,0.633409502,0.003814697,1.623154,0.20634036,1.060478645,0.327353723,0.003814697,1.686096,0.033444062,0.621263384,0.312226672,0.003814697,1.302719,0.022074718,0.602378626,0.05088875,0.003814697,0.2670288,0.001510012,0.100267488,0.0630857,0.003814697,0.2765656,0.008791286,0.117380113,327.395,1,694,124.5227344,530.2672656,249.92,1,590,70.38593058,429.4540694,112.793,1,562,2.372980385,223.2130196,108.021,1,430,0,216.042,18.262,1,77,4.14943395,32.37456605,25.364,2,64,8.49865257,42.22934743,24.68412977,1,60.04163,10.32547489,39.04278464,23.58550204,1,59.04163,9.248787239,37.92221685,24.68809611,1,60.04163,10.32998472,39.04620751,32.8697121,1,90.31397,12.76268716,52.97673704,24.68530402,1,60.04164,10.32563826,39.04496978,25.26794654,1,65.45584,10.4506421,40.08525099
45,1.252197265,0.01144409,2.807617,0.532735415,1.971659116,0.937217717,0.007629395,2.376556,0.351147666,1.523287769,0.605583182,0.003814697,2.235413,0.079187297,1.131979067,0.619350433,0.003814697,2.197266,0.078819408,1.159881459,0.082870483,0.003814697,0.3013611,0.011729744,0.154011221,0.097801209,0.003814697,0.3471375,0.02720442,0.168397998,491.388,2,1008,198.7675903,784.0084097,385.297,2,848,129.9938733,640.6001267,225.18,2,846,17.46491351,432.8950865,235.746,2,869,9.205296871,462.2867031,34.624,2,112,6.774507757,62.47349224,41.14,4,112,14.50840895,67.77159105,35.45780386,1,96.98279,14.43924853,56.47635919,34.35400579,1,95.56857,13.3582986,55.34971297,35.45838969,1,96.98279,14.44036025,56.47641914,46.77467659,1,116.9828,19.00263335,74.54671982,35.45780127,1,96.98276,14.43925093,56.47635162,36.42850456,1,96.98277,15.10140876,57.75560036
50,1.924385068,0.01907349,3.826141,0.893441499,2.955328637,1.125862127,0.007629395,2.83432,0.506656256,1.745067998,0.542346956,0.003814697,2.685547,0.106095337,0.978598576,0.422241209,0.007629395,1.811981,0.123218943,0.721263475,0.078262329,0.003814697,0.3890991,0.01199592,0.144528739,0.092136383,0.007629395,0.3089905,0.023471239,0.160801527,743.365,4,1450,329.2541071,1157.475893,454.801,2,1001,193.0725507,716.5294493,190.1,2,1016,28.46919688,351.7308031,144.092,2,672,30.12150904,258.062491,29.149,2,167,6.983303144,51.31469686,36.746,4,110,15.06398917,58.42801083,33.65296771,1,79.35535,17.60381982,49.7021156,32.5604661,1,77.94114,16.5122035,48.6087287,33.65482559,1,79.35535,17.60564619,49.70400499,45.80206877,1,116.197,22.98764328,68.61649426,33.6703808,1,79.35535,17.60611229,49.73464931,34.50565743,1,88.35534,17.69207635,51.31923851
55,2.340248114,0.007629395,4.890442,1.071165739,3.609330489,1.5018425,0.003814697,3.391266,0.596570195,2.407114805,0.794883727,0.003814697,4.077911,0.050764618,1.539002837,0.707260137,0.003814697,2.861023,0.045742093,1.368778181,0.123811555,0.007629395,0.617981,0.010263589,0.237359521,0.143177033,0.003814697,0.5493164,0.039542233,0.246811832,923.753,1,1859,398.5864189,1448.919581,621.256,1,1386,229.6546286,1012.857371,296.759,1,1636,3.811620619,589.7063794,262.644,1,1053,0,525.288,51.713,1,286,0.345761178,103.0802388,60.56,2,190,17.25316588,103.8668341,40.34824672,1,98.98279,19.97671048,60.71978296,39.22908707,1,97.98279,18.86674679,59.59142735,40.35142151,1,98.98279,19.98066853,60.72217449,54.30946341,1,129.8801,26.60645372,82.01247309,40.36094274,1,98.98277,19.98721267,60.73467282,41.44735425,1,114.8823,20.09899441,62.79571409
