MapSize,Dijkstra_Time,BiDirDijkstra_Time,Astar_Time,BiDirAstar_Time,JumpPointSearch_Time,BiDirJPS_Time,Dijkstra_ExploredNodes,BiDirDijkstra_ExploredNodes,Astar_ExploredNodes,BiDirAstar_ExploredNodes,JumpPointSearch_ExploredNodes,BiDirJPS_ExploredNodes,Dijkstra_PathLength,BiDirDijkstra_PathLength,Astar_PathLength,BiDirAstar_PathLength,JumpPointSearch_PathLength,BiDirJPS_PathLength
10,0.119446994,0.07168603,0.03984356,0.043719291,0.019413233,0.02287054,28.57,15.144,7.292,5.602,3.588,6.056,4.730702174,3.776313312,4.730702174,4.710265638,4.730702153,5.093206744
15,0.258803367,0.167747498,0.075334072,0.069912434,0.018673897,0.027472972,78.324,47.815,17.155,13.525,5.001,7.838,8.577831208,7.532626117,8.579144914,10.25825983,8.57865988,8.898483156
20,0.269565583,0.18484974,0.073547364,0.069779395,0.02161026,0.031395912,91.447,58.485,19.086,14.171,6.005,9.18,9.277767297,8.22941999,9.28215208,11.30058128,9.278010123,9.539277109
25,0.519242286,0.383326531,0.208029747,0.206870079,0.037305832,0.048022271,190.886,140.272,66.646,62.8,12.406,16.794,17.56605293,16.47672307,17.56898186,22.66686454,17.58655624,18.65433098
30,0.71991158,0.463893892,0.232437135,0.208906174,0.038923264,0.047180177,268.39,174.702,74.394,63.137,12.681,17.45,19.64494618,18.58277061,19.64670355,25.8788497,19.64518944,19.99506662
35,0.866302492,0.832637796,0.548154836,0.659357065,0.057657242,0.07629776,338.925,341.865,207.279,257.711,23.219,33.474,35.465184,34.37989561,35.46518401,46.26119465,35.46518177,35.89327216
40,0.84584427,0.633409502,0.327026369,0.311914445,0.050786973,0.063022614,327.395,249.92,112.793,108.021,18.262,25.364,24.63476151,23.53833104,24.63871992,32.80397268,24.63593341,25.21741065
45,1.252197265,0.937217717,0.605583182,0.619350433,0.082870483,0.097801209,491.388,385.297,225.18,235.746,34.624,41.14,35.45780386,34.35400579,35.45838969,46.77467659,35.45780127,36.42850456
50,1.924385068,1.125862127,0.542346956,0.422241209,0.078262329,0.092136383,743.365,454.801,190.1,144.092,29.149,36.746,33.65296771,32.5604661,33.65482559,45.80206877,33.6703808,34.50565743
55,2.340248114,1.5018425,0.794883727,0.707260137,0.123687744,0.143177033,923.753,621.256,296.759,262.644,51.713,60.56,40.30789847,39.18985799,40.31107009,54.25515394,40.3205818,41.4059069
